form,enabled,sink,orginial,def
PBM,1,tbl,,tmp_stg.sg_itsm
PBM,1,filter,,dft.PBM
PBM,1,id,Problem Investigation ID,seq
PBM,1,number,Problem Investigation ID,
PBM,1,configuration_item_service,ServiceCI,cast.configuration_item_service
PBM,1,short_description,Description,
PBM,1,description,Detailed Description,
PBM,1,configuration_item,PBM_CI,cast.configuration_item
PBM,1,impact,Impact,map.impact
PBM,1,urgency,Urgency,map.urgency
PBM,1,priority,Priority,map.priority
PBM,1,assignment_group_id,Assigned Group,cast.gid
PBM,1,assigned_sys_user_id,Assignee,cast.uid
PBM,1,third_party_type,Vendor Name,
PBM,1,third_party_key,Vendor Ticket Number,
PBM,1,state,Investigation Status,map.state
PBM,1,workaround,Temporary Workaround,
PBM,1,fix_notes,Implemented Solution,
PBM,1,category,Categorization Tier 1,cast.category
PBM,1,sub_category,Categorization Tier 2,cast.subcategory
PBM,1,opened_sys_user_id,Submitter,cast.uid
PBM,1,opened_at,Submit Date,
PBM,1,updated_by,Last Modified By,
PBM,1,updated_time,Last Modified Date,
